,id,gender,ocp_cd,age,income,cd+kp,kp_txn_count,kp_txn_amt,cd_ex
0,1,2,9.0,5,20000.0,48200.0,2.0,3500.0,44700.0
1,2,2,3.0,4,106000.0,275200.0,104.0,210000.0,65200.0
2,3,2,1.0,3,29000.0,139700.0,70.0,139700.0,0.0
3,4,2,3.0,5,61000.0,6846100.0,315.0,6076100.0,770000.0
4,5,2,9.0,4,18000.0,12000.0,0.0,0.0,12000.0
5,6,1,3.0,3,19000.0,45400.0,10.0,13400.0,32000.0
6,7,1,3.0,5,53000.0,644900.0,277.0,603800.0,41100.0
7,8,2,9.0,3,16000.0,821100.0,1466.0,804800.0,16300.0
8,9,1,9.0,4,19000.0,33600.0,9.0,4600.0,29000.0
9,10,1,3.0,3,17000.0,68400.0,43.0,68400.0,0.0
10,11,1,9.0,4,28000.0,565200.0,143.0,523600.0,41600.0
11,12,2,3.0,4,31000.0,27000.0,0.0,0.0,27000.0
12,13,2,3.0,3,22000.0,62000.0,22.0,52200.0,9800.0
13,14,2,3.0,5,19000.0,59000.0,0.0,0.0,59000.0
14,15,2,3.0,3,26000.0,19000.0,0.0,0.0,19000.0
15,16,2,3.0,4,13000.0,54800.0,2.0,20700.0,34100.0
16,17,2,9.0,3,75000.0,393800.0,120.0,393800.0,0.0
17,18,1,3.0,4,10000.0,96800.0,78.0,96800.0,0.0
18,19,1,9.0,4,26000.0,32000.0,0.0,0.0,32000.0
19,20,2,9.0,3,11000.0,9600.0,4.0,600.0,9000.0
20,21,2,3.0,3,49000.0,436500.0,90.0,392900.0,43600.0
21,22,1,3.0,4,59000.0,1044800.0,38.0,893800.0,151000.0
22,23,2,9.0,4,33000.0,144800.0,37.0,119000.0,25800.0
23,24,1,9.0,4,25000.0,9000.0,0.0,0.0,9000.0
24,25,1,9.0,5,79000.0,875100.0,124.0,798700.0,76400.0
25,26,1,3.0,4,29000.0,53300.0,111.0,53300.0,0.0
26,27,2,3.0,5,11000.0,0.0,0.0,0.0,0.0
27,28,2,9.0,4,26000.0,171200.0,53.0,136600.0,34600.0
28,29,2,9.0,3,14000.0,84400.0,8.0,61800.0,22600.0
29,30,2,3.0,5,12000.0,8900.0,45.0,2900.0,6000.0
30,31,2,9.0,3,37000.0,1619100.0,274.0,1450400.0,168700.0
31,32,1,9.0,3,18000.0,450200.0,27.0,355800.0,94400.0
32,33,2,3.0,3,16000.0,157900.0,50.0,119700.0,38200.0
