id,gender,ocp_cd,age,income,kp_txn_count,kp_txn_amt,cd_ex
1,2,9.0,5,20000.0,2.0,1750.0,4470.0
2,2,3.0,4,29000.0,104.0,8400.0,2244.485294117647
3,2,1.0,3,18000.0,70.0,6652.380952380952,0.0
4,2,3.0,5,19000.0,315.0,243044.0,20585.284280936452
5,2,9.0,4,16000.0,0.0,0.0,4000.0
6,1,3.0,3,19000.0,10.0,4466.666666666667,5333.333333333333
7,1,3.0,5,28000.0,277.0,24152.0,934.090909090909
8,2,9.0,3,26000.0,1466.0,32192.0,1164.2857142857142
9,1,9.0,4,75000.0,9.0,657.1428571428571,2638.8888888888887
10,1,3.0,3,11000.0,43.0,3420.0,0.0
11,1,9.0,4,49000.0,143.0,20944.0,3678.3333333333335
12,2,3.0,4,33000.0,0.0,0.0,329.2682926829268
13,2,3.0,3,79000.0,22.0,4350.0,920.0
14,2,3.0,5,26000.0,0.0,0.0,3464.285714285714
15,2,3.0,3,12000.0,0.0,0.0,527.7777777777778
16,2,3.0,4,18000.0,2.0,20700.0,3516.6666666666665
17,2,9.0,3,14000.0,120.0,16408.333333333332,0.0
18,1,3.0,4,57000.0,78.0,4033.3333333333335,0.0
19,1,9.0,4,60000.0,0.0,0.0,5111.111111111111
20,2,9.0,3,112000.0,4.0,200.0,9000.0
21,2,3.0,3,18000.0,90.0,21827.777777777777,995.0
22,1,3.0,4,21000.0,38.0,59586.666666666664,452.34741784037556
23,2,9.0,4,38000.0,37.0,7437.5,330.7692307692308
24,1,9.0,4,20000.0,0.0,0.0,4500.0
25,1,9.0,5,15000.0,124.0,31948.0,8080.0
26,1,3.0,4,26000.0,111.0,2805.2631578947367,0.0
27,2,3.0,5,27000.0,0.0,0.0,0.0
28,2,9.0,4,20000.0,53.0,6504.761904761905,2488.888888888889
29,2,9.0,3,22000.0,8.0,12360.0,2260.0
30,2,3.0,5,41000.0,45.0,161.11111111111111,6000.0
31,2,9.0,3,255000.0,274.0,58016.0,1802.70979020979
32,1,9.0,3,17000.0,27.0,27369.23076923077,1627.5862068965516
33,2,3.0,3,37000.0,50.0,5985.0,2122.222222222222
34,1,9.0,3,200000.0,0.0,0.0,1750.0
35,1,3.0,2,54000.0,0.0,0.0,11000.0
36,1,3.0,5,34000.0,383.0,51804.166666666664,10398.039215686274
37,2,3.0,4,45000.0,96.0,62700.0,1711.111111111111
38,2,3.0,4,11000.0,0.0,0.0,4650.0
39,2,9.0,4,41000.0,13.0,10500.0,1759.090909090909
40,1,3.0,4,15000.0,0.0,0.0,0.0
41,1,9.0,4,22000.0,45.0,4205.263157894737,1034.2857142857142
42,2,3.0,3,14000.0,152.0,34324.0,1487.5
43,2,9.0,3,12000.0,20.0,4637.5,981.8181818181819
44,1,3.0,4,23000.0,11.0,4810.0,2500.0
45,1,9.0,4,34000.0,85.0,16785.714285714286,3055.0
46,2,9.0,3,14000.0,54.0,7775.0,7000.0
47,1,9.0,5,23000.0,12.0,9780.0,1820.0
48,2,9.0,5,35000.0,0.0,0.0,0.0
49,1,3.0,5,75000.0,22.0,12769.23076923077,1105.5555555555557
50,2,9.0,4,20000.0,68.0,11631.818181818182,605.0847457627119
51,2,9.0,3,29000.0,21.0,13550.0,3200.0
52,2,9.0,4,24000.0,100.0,14343.478260869566,1700.0
53,2,3.0,4,32000.0,53.0,18404.761904761905,6219.871794871795
54,2,9.0,4,38000.0,70.0,5813.04347826087,1304.1666666666667
55,2,9.0,5,42000.0,55.0,12341.666666666666,7500.0
56,1,3.0,4,43000.0,24.0,12266.666666666666,3790.9090909090905
57,1,9.0,4,43000.0,442.0,428580.0,0.0
58,1,9.0,3,19000.0,51.0,4563.1578947368425,1650.0
59,2,3.0,4,134000.0,52.0,1685.7142857142858,1166.6666666666667
60,2,3.0,4,64000.0,5.0,9275.0,603.125
61,2,9.0,5,28000.0,0.0,0.0,500.0
62,2,3.0,4,17000.0,190.0,41036.0,723.8095238095239
63,2,9.0,3,32000.0,26.0,1100.0,4000.0
64,2,3.0,3,11000.0,99.0,9938.095238095239,3569.6428571428573
65,2,9.0,4,36000.0,0.0,0.0,1371.6666666666667
66,2,3.0,5,23000.0,31.0,7040.0,1024.1379310344828
67,2,3.0,3,229000.0,72.0,7866.666666666667,439.5348837209302
68,1,9.0,3,38000.0,0.0,0.0,2777.2727272727275
69,1,3.0,4,17000.0,58.0,29400.0,2410.4779411764707
70,1,3.0,4,23000.0,0.0,0.0,4933.333333333333
71,1,13.0,4,21000.0,0.0,0.0,0.0
72,2,3.0,3,28000.0,43.0,6127.272727272727,0.0
73,1,9.0,4,19000.0,17.0,864.2857142857143,1810.0
74,1,4.0,5,57000.0,152.0,144152.38095238095,16811.11111111111
75,2,3.0,5,27000.0,58.0,43966.666666666664,9850.0
76,1,3.0,3,18000.0,54.0,16172.222222222223,0.0
77,2,9.0,4,69000.0,37.0,5329.411764705882,710.5263157894736
78,1,3.0,3,18000.0,0.0,0.0,991.8367346938776
79,2,3.0,4,181000.0,0.0,0.0,0.0
80,2,9.0,4,38000.0,1.0,100.0,3040.0
81,1,9.0,4,141000.0,53.0,28910.0,2127.777777777778
82,2,3.0,4,27000.0,0.0,0.0,7000.0
83,2,3.0,4,21000.0,38.0,4255.0,923.0769230769232
84,1,9.0,4,106000.0,30.0,3726.6666666666665,2146.153846153846
85,1,9.0,4,18000.0,43.0,8588.235294117647,0.0
86,1,3.0,3,18000.0,22.0,5880.0,5366.666666666667
87,2,9.0,5,44000.0,0.0,0.0,1000.0
88,2,3.0,2,48000.0,84.0,4477.777777777777,3100.0
89,2,9.0,3,78000.0,89.0,12334.782608695652,2500.0
90,1,3.0,6,42000.0,0.0,0.0,8500.0
91,1,7.0,3,27000.0,120.0,50768.0,0.0
92,1,9.0,3,34000.0,53.0,14423.809523809523,0.0
93,2,3.0,3,59000.0,0.0,0.0,0.0
94,2,9.0,6,91000.0,41.0,650.0,150.0
95,2,9.0,3,23000.0,4.0,3200.0,1727.6785714285716
96,2,3.0,4,13000.0,32.0,8175.0,424.10256410256414
97,2,1.0,3,19000.0,25.0,13928.57142857143,1306.6666666666667
98,2,9.0,3,17000.0,0.0,0.0,0.0
99,2,3.0,3,50000.0,0.0,0.0,740.0
100,2,3.0,4,142000.0,241.0,38196.0,1375.7575757575758
101,2,9.0,3,446000.0,57.0,10638.461538461539,2684.090909090909
102,2,3.0,4,73000.0,277.0,31936.0,776.4705882352941
103,2,9.0,3,42000.0,0.0,0.0,1750.0
104,1,9.0,5,17000.0,0.0,0.0,1233.3333333333333
105,1,3.0,4,14000.0,0.0,0.0,1111.111111111111
106,2,9.0,4,85000.0,20.0,5042.857142857143,0.0
107,1,9.0,3,18000.0,131.0,27120.833333333332,3600.0
108,1,3.0,4,55000.0,32.0,27450.0,2974.285714285714
109,1,3.0,4,22000.0,61.0,20322.727272727272,2055.0
110,2,3.0,5,87000.0,0.0,0.0,8000.0
111,2,3.0,4,62000.0,0.0,0.0,7288.888888888889
112,2,9.0,3,23000.0,72.0,10512.5,15333.333333333334
113,2,3.0,3,42000.0,176.0,28531.81818181818,1254.1666666666667
114,2,13.0,5,31000.0,48.0,20721.052631578947,3376.923076923077
115,2,9.0,5,11000.0,58.0,3915.0,6150.0
116,2,9.0,3,18000.0,0.0,0.0,0.0
117,1,3.0,3,40000.0,16.0,26850.0,3375.0
118,2,3.0,5,65000.0,48.0,4384.210526315789,0.0
119,2,4.0,4,25000.0,145.0,889000.0,15087.5
120,1,3.0,3,28000.0,105.0,14008.695652173914,746.938775510204
121,1,3.0,4,250000.0,0.0,0.0,3232.2916666666665
122,2,9.0,5,64000.0,0.0,0.0,2663.3333333333335
123,1,3.0,4,20000.0,51.0,11736.842105263158,636.9444444444445
124,1,3.0,3,61000.0,90.0,28612.0,2094.5945945945946
125,2,4.0,5,118000.0,0.0,0.0,0.0
126,1,3.0,3,18000.0,75.0,8720.0,9000.0
127,2,9.0,3,34000.0,0.0,0.0,750.0
128,2,9.0,4,47000.0,100.0,18455.0,610.7142857142857
129,1,9.0,3,34000.0,57.0,6295.454545454545,500.0
130,1,3.0,4,29000.0,35.0,10900.0,2006.25
131,2,3.0,3,12000.0,0.0,0.0,6000.0
132,1,3.0,3,15000.0,0.0,0.0,364.70588235294116
133,2,3.0,3,25000.0,28.0,13813.333333333334,500.0
134,1,3.0,5,32000.0,25.0,29950.0,717.0112781954887
135,2,9.0,3,177000.0,0.0,0.0,1515.3846153846155
136,2,9.0,3,167000.0,25.0,2080.0,2000.0
137,1,3.0,3,21000.0,255.0,77896.0,1012.5
138,2,9.0,5,46000.0,49.0,2109.5238095238096,2981.578947368421
139,1,3.0,4,22000.0,26.0,70618.18181818182,3592.0
140,2,3.0,3,25000.0,0.0,0.0,929.6296296296296
141,2,9.0,5,17000.0,12.0,1690.909090909091,660.0
142,2,9.0,3,19000.0,54.0,5516.666666666667,1287.5
143,2,9.0,3,22000.0,28.0,4515.384615384615,29000.0
144,1,3.0,3,33000.0,105.0,8166.666666666667,2597.916666666667
145,2,3.0,3,102000.0,60.0,7257.142857142857,6166.666666666667
146,2,3.0,4,43000.0,117.0,7614.285714285715,5595.454545454546
147,2,3.0,3,98000.0,45.0,8204.545454545454,1069.2307692307693
148,1,9.0,4,57000.0,0.0,0.0,1011.111111111111
149,2,6.0,2,34000.0,0.0,0.0,1228.0
150,1,9.0,3,230000.0,78.0,12968.181818181818,1350.0
151,1,4.0,6,39000.0,10.0,28477.777777777777,0.0
152,2,3.0,4,26000.0,17.0,2033.3333333333333,0.0
153,2,3.0,4,16000.0,0.0,0.0,2115.7894736842104
154,1,3.0,4,35000.0,30.0,31725.0,2269.166666666667
155,1,9.0,4,17000.0,0.0,0.0,1333.3333333333333
156,2,3.0,4,33000.0,84.0,26454.166666666668,1018.9285714285714
157,2,9.0,4,17000.0,0.0,0.0,0.0
158,2,9.0,5,38000.0,0.0,0.0,0.0
159,2,9.0,4,38000.0,0.0,0.0,575.0
160,2,3.0,3,68000.0,77.0,21492.0,1693.472222222222
161,2,3.0,4,48000.0,41.0,1110.0,3488.8888888888887
162,2,3.0,6,30000.0,14.0,73588.88888888889,1060.0
163,1,9.0,3,40000.0,79.0,17038.095238095237,13689.166666666666
164,2,3.0,4,12000.0,11.0,4766.666666666667,755.7692307692307
165,2,9.0,4,244000.0,40.0,8116.666666666667,1808.3333333333333
166,1,3.0,3,44000.0,20.0,35269.230769230766,0.0
167,2,3.0,4,35000.0,67.0,25988.88888888889,0.0
168,1,3.0,4,18000.0,4.0,2700.0,3200.0
169,2,3.0,5,93000.0,0.0,0.0,18516.666666666668
170,1,9.0,4,28000.0,32.0,7107.142857142857,2670.0
171,2,3.0,4,107000.0,4.0,33250.0,253.03030303030303
172,2,3.0,3,47000.0,52.0,78460.0,625.0
173,1,9.0,4,33000.0,376.0,112800.0,13000.0
174,2,3.0,3,51000.0,51.0,4157.894736842105,0.0
175,1,3.0,3,25000.0,51.0,19961.904761904763,9983.333333333334
176,2,1.0,5,21000.0,0.0,0.0,1800.0
177,1,9.0,3,23000.0,99.0,14350.0,1560.0
178,1,3.0,5,46000.0,0.0,0.0,987.5
179,2,3.0,3,22000.0,95.0,4368.181818181818,1966.6666666666667
180,2,9.0,4,38000.0,0.0,0.0,827.6595744680851
181,1,9.0,3,27000.0,36.0,8805.555555555555,2640.0
182,2,5.0,6,34000.0,38.0,8362.5,0.0
183,1,3.0,4,58000.0,19.0,18275.0,1110.8333333333333
184,1,3.0,3,26000.0,60.0,8419.047619047618,1940.7407407407406
185,2,3.0,5,140000.0,26.0,7243.75,5900.0
186,2,9.0,3,19000.0,0.0,0.0,651.0416666666666
187,2,9.0,4,49000.0,87.0,3987.5,133.33333333333334
188,1,9.0,3,19000.0,0.0,0.0,0.0
189,1,3.0,3,69000.0,33.0,13816.666666666666,704.5454545454545
190,2,4.0,4,30000.0,82.0,28226.08695652174,275.0
191,1,4.0,5,32000.0,33.0,4733.333333333333,0.0
192,1,9.0,3,46000.0,0.0,0.0,2050.8695652173915
193,1,9.0,4,36000.0,6.0,250.0,2280.0
194,1,3.0,3,30000.0,55.0,3694.4444444444443,14000.0
195,2,9.0,3,16000.0,41.0,10593.75,926.6666666666666
196,1,9.0,4,16000.0,114.0,16878.260869565216,4333.333333333333
197,2,9.0,3,29000.0,0.0,0.0,1069.2307692307693
198,2,9.0,3,20000.0,27.0,5377.777777777777,800.0
199,2,2.0,6,63000.0,0.0,0.0,4037.037037037037
200,1,3.0,3,40000.0,25.0,1118.75,1350.0
201,1,3.0,4,20000.0,0.0,0.0,0.0
202,1,9.0,4,10000.0,0.0,0.0,3340.0
203,1,3.0,5,34000.0,86.0,52187.5,1100.0
204,2,3.0,3,67000.0,165.0,41112.0,933.3333333333334
205,1,3.0,3,16000.0,42.0,139043.75,7340.862068965517
206,1,3.0,5,202000.0,2.0,2100.0,216.66666666666666
207,1,3.0,4,23000.0,101.0,24241.666666666668,5192.857142857143
208,1,13.0,6,92000.0,0.0,0.0,2428.5714285714284
209,2,9.0,4,20000.0,47.0,5241.176470588235,708.3333333333334
210,1,9.0,6,54000.0,0.0,0.0,1600.0
211,2,3.0,4,46000.0,216.0,17062.5,0.0
212,1,9.0,4,17000.0,80.0,7414.285714285715,2486.6666666666665
213,1,9.0,3,17000.0,93.0,7563.636363636364,2320.0
214,2,3.0,5,16000.0,0.0,0.0,6000.0
215,2,3.0,4,48000.0,19.0,20007.69230769231,2625.0
216,1,9.0,3,46000.0,75.0,89566.66666666667,3757.1428571428573
217,2,1.0,3,21000.0,26.0,12860.0,2457.5757575757575
218,1,9.0,3,114000.0,115.0,8204.545454545454,628.7878787878789
219,1,3.0,5,27000.0,109.0,45004.34782608696,2680.0
220,1,9.0,6,40000.0,0.0,0.0,444.4444444444444
221,2,9.0,4,34000.0,67.0,6263.636363636364,2970.0
222,1,3.0,3,17000.0,35.0,7106.25,1121.4285714285713
223,1,9.0,4,46000.0,44.0,22435.0,2325.833333333333
224,1,3.0,5,48000.0,0.0,0.0,2500.0
225,2,3.0,3,39000.0,76.0,4995.833333333333,9000.0
226,1,3.0,5,18000.0,24.0,12485.714285714286,1000.0
227,1,3.0,4,35000.0,0.0,0.0,683.6734693877551
228,1,3.0,3,32000.0,47.0,9576.470588235294,5833.333333333333
229,2,9.0,4,20000.0,0.0,0.0,713.3333333333334
230,2,3.0,4,31000.0,50.0,9933.333333333334,5125.0
231,1,3.0,4,20000.0,39.0,6329.411764705882,2783.3333333333335
232,2,3.0,4,25000.0,65.0,8265.217391304348,4250.0
233,1,3.0,4,15000.0,107.0,29454.166666666668,686.6279069767442
234,1,9.0,5,160000.0,105.0,11839.130434782608,952.3391812865498
235,2,3.0,3,14000.0,194.0,148284.0,1352.0833333333333
236,2,9.0,3,14000.0,204.0,27340.0,1947.2222222222222
237,2,3.0,3,17000.0,791.0,55356.0,404.3859649122807
238,1,9.0,3,17000.0,1.0,200.0,2727.906976744186
239,1,9.0,5,29000.0,1.0,8300.0,7420.0
240,1,3.0,4,48000.0,24.0,71180.0,8646.428571428572
241,1,9.0,4,41000.0,112.0,18028.0,818.3333333333334
242,1,4.0,5,17000.0,0.0,0.0,740.0
243,2,3.0,5,118000.0,0.0,0.0,2487.5
244,1,9.0,4,10000.0,169.0,7076.0,1670.0
245,2,3.0,5,36000.0,0.0,0.0,1566.6666666666667
246,1,9.0,4,39000.0,47.0,143736.84210526315,1286.111111111111
247,2,3.0,3,37000.0,68.0,4686.363636363636,2352.3809523809523
248,1,3.0,6,19000.0,0.0,0.0,1200.0
249,1,9.0,4,32000.0,0.0,0.0,0.0
250,2,3.0,3,39000.0,292.0,114204.0,834.8295454545454
251,2,3.0,4,25000.0,45.0,3675.0,0.0
252,2,9.0,4,29000.0,96.0,2900.0,1548.2142857142858
253,2,9.0,3,33000.0,86.0,11910.0,1641.1764705882354
254,1,9.0,4,72000.0,0.0,0.0,3750.0
255,2,3.0,4,31000.0,0.0,0.0,2250.0
256,1,3.0,5,20000.0,0.0,0.0,0.0
257,1,9.0,3,39000.0,52.0,21030.76923076923,3922.7272727272725
258,2,3.0,3,42000.0,153.0,18870.833333333332,4592.857142857143
259,1,9.0,4,20000.0,0.0,0.0,1531.6017316017314
260,1,3.0,4,167000.0,0.0,0.0,700.0
261,1,9.0,6,38000.0,0.0,0.0,0.0
262,1,4.0,4,32000.0,31.0,7784.210526315789,3581.0880829015546
263,1,4.0,5,22000.0,12.0,17200.0,0.0
264,1,9.0,5,476000.0,27.0,6636.8421052631575,0.0
265,1,3.0,4,54000.0,42.0,40156.25,11860.0
266,2,9.0,4,18000.0,0.0,0.0,1687.5
