id,gender,ocp_cd,age,income,kp_txn_count,kp_txn_amt,cd_ex,cc_month_mean,kp_month_mean
1,2,9.0,5,20000,2.0,1750.0,4470.0,11175.0,3500.0
2,2,3.0,4,106000,104.0,8400.0,2244.4852941176473,14385.0,35000.0
3,2,1.0,3,29000,70.0,6652.380952380952,0.0,0.0,23283.333333333332
4,2,3.0,5,61000,315.0,243044.0,20585.28428093645,500000.0,1012683.3333333334
5,2,9.0,4,18000,0.0,0.0,4000.0,6000.0,0.0
6,1,3.0,3,19000,10.0,4466.666666666667,5333.333333333333,32000.0,13400.0
7,1,3.0,5,53000,277.0,24152.0,934.090909090909,6850.0,100633.33333333333
8,2,9.0,3,16000,1466.0,32192.0,1164.2857142857142,2716.6666666666665,134133.33333333334
9,1,9.0,4,19000,9.0,657.1428571428571,2638.8888888888887,7916.666666666666,1533.3333333333333
10,1,3.0,3,17000,43.0,3420.0,0.0,0.0,11400.0
11,1,9.0,4,28000,143.0,20944.0,3678.333333333334,8320.0,87266.66666666667
12,2,3.0,4,31000,0.0,0.0,329.2682926829268,4500.0,0.0
13,2,3.0,3,22000,22.0,4350.0,920.0,3933.3333333333335,8700.0
14,2,3.0,5,19000,0.0,0.0,3464.285714285714,14000.0,0.0
15,2,3.0,3,26000,0.0,0.0,527.7777777777778,3166.6666666666665,0.0
16,2,3.0,4,13000,2.0,20700.0,3516.666666666666,13366.666666666666,20700.0
17,2,9.0,3,75000,120.0,16408.333333333332,0.0,0.0,65633.33333333333
18,1,3.0,4,10000,78.0,4033.333333333334,0.0,0.0,16133.333333333334
19,1,9.0,4,26000,0.0,0.0,5111.11111111111,15333.333333333334,0.0
20,2,9.0,3,11000,4.0,200.0,9000.0,9000.0,300.0
21,2,3.0,3,49000,90.0,21827.777777777777,995.0,10900.0,65483.333333333336
22,1,3.0,4,59000,38.0,59586.66666666666,452.3474178403756,25316.666666666668,148966.66666666666
23,2,9.0,4,33000,37.0,7437.5,330.76923076923083,4300.0,19833.333333333332
24,1,9.0,4,25000,0.0,0.0,4500.0,9000.0,0.0
25,1,9.0,5,79000,124.0,31948.0,8080.0,39280.0,133116.66666666666
26,1,3.0,4,29000,111.0,2805.263157894737,0.0,0.0,10660.0
27,2,3.0,5,11000,0.0,0.0,0.0,0.0,0.0
28,2,9.0,4,26000,53.0,6504.7619047619055,2488.8888888888887,8991.666666666666,22766.666666666668
29,2,9.0,3,14000,8.0,12360.0,2260.0,5650.0,20600.0
30,2,3.0,5,12000,45.0,161.11111111111111,6000.0,6000.0,483.3333333333333
31,2,9.0,3,37000,274.0,58016.0,1802.7097902097898,31560.0,241733.33333333334
32,1,9.0,3,18000,27.0,27369.230769230766,1627.5862068965514,15733.333333333334,59300.0
33,2,3.0,3,16000,50.0,5985.0,2122.222222222222,6366.666666666667,19950.0
34,1,9.0,3,44000,0.0,0.0,1750.0,3500.0,0.0
35,1,3.0,2,14000,0.0,0.0,11000.0,11000.0,0.0
36,1,3.0,5,20000,383.0,51804.16666666666,10398.039215686274,33383.333333333336,207216.66666666666
37,2,3.0,4,57000,96.0,62700.0,1711.111111111111,7700.0,240350.0
